,PTT.BK,ADVANC.BK,CPALL.BK,SCC.BK,BDMS.BK,KBANK.BK,AOT.BK,CPF.BK,GULF.BK,MINT.BK
Timestamp,Trade Close,Trade Close,Trade Close,Trade Close,Trade Close,Trade Close,Trade Close,Trade Close,Trade Close,Trade Close
1/5/2009,18.9,79,6.3,114,1.84,48,1.95,3.22,,7.396695694
1/6/2009,18.4,78,6.25,119,1.79,48.75,1.88,3.36,,6.818183182
1/7/2009,18.1,75,5.85,116,1.79,47.25,1.83,3.36,,6.528926926
1/8/2009,18.3,75.5,5.9,117,1.79,47.75,1.86,3.36,,6.942150149
1/9/2009,17.7,75,5.95,114,1.79,47.25,1.89,3.3,,6.570249248
1/12/2009,16.8,74.5,5.9,115,1.8,46.5,1.88,3.4,,6.322315314
1/13/2009,15.6,71.5,5.75,106,1.75,45,1.85,3.3,,6.322315314
1/14/2009,15.8,74.5,5.7,107,1.74,45.5,1.86,3.3,,6.570249248
1/15/2009,15.4,71,5.65,101,1.69,44,1.84,3.24,,6.528926926
1/16/2009,15.9,72.5,5.8,104,1.71,44.75,1.82,3.22,,6.487604603
1/19/2009,15.8,73,5.7,105,1.73,44.75,1.8,3.3,,6.363637636
1/20/2009,15.7,73.5,5.8,103,1.72,44.5,1.79,3.26,,6.322315314
1/21/2009,15.6,73,5.75,103,1.72,44,1.8,3.28,,6.239670669
1/22/2009,16.2,72.5,5.7,104,1.7,45,1.79,3.28,,
1/23/2009,15.9,72,5.75,102,1.69,44,1.81,3.24,,6.07438138
1/26/2009,16,73,5.75,102,1.71,44.5,1.85,3.24,,5.909092091
1/27/2009,16.5,74.5,5.75,105,1.75,46,1.83,3.3,,5.909092091
1/28/2009,16.7,75.5,5.65,105,1.75,47,1.85,3.34,,5.991736736
1/29/2009,15.9,73.5,5.6,102,1.68,45,1.82,3.32,,5.909092091
1/30/2009,16,75,5.6,100,1.7,45,1.83,3.3,,5.950414413
2/2/2009,15.4,72.5,5.6,99,1.68,43.75,1.8,3.32,,5.950414413
2/3/2009,15.5,73.5,5.75,98,1.68,44.5,1.84,3.34,,5.867769769
2/4/2009,15.4,75,5.85,98,1.68,44.5,1.8,3.34,,5.950414413
2/5/2009,15.5,74,5.85,98.5,1.7,44.75,1.79,3.34,,5.950414413
2/6/2009,16.5,75,5.9,101,1.73,45.75,1.81,3.38,,6.157026025
2/10/2009,16.3,76,5.95,101,1.74,44.75,1.81,3.4,,6.404959959
2/11/2009,16.3,76,6.05,101,1.75,45.25,1.83,3.38,,6.322315314
2/12/2009,16,76.5,5.95,99.5,1.73,45.25,1.81,3.38,,6.115703702
2/13/2009,16.4,77.5,6.05,99.5,1.73,47,1.81,3.4,,6.115703702
2/16/2009,16.3,77.5,6.05,99.5,1.74,47.25,1.79,3.42,,6.115703702
2/17/2009,15.9,76,6.15,98,1.74,45.5,1.76,3.42,,6.033059058
2/18/2009,15.9,77,6.45,99,1.73,46,1.75,3.42,,5.991736736
2/19/2009,15.9,79,6.4,100,1.72,46.75,1.75,3.48,,5.950414413
2/20/2009,15.6,78,6.1,99.5,1.72,45.75,1.73,3.48,,5.950414413
2/23/2009,15.7,78,6.15,99,1.74,45.5,1.65,3.44,,5.950414413
2/24/2009,15.6,77.5,6.3,98.5,1.7,45.25,1.6,3.44,,5.909092091
2/25/2009,15.8,79.5,6.3,100,1.72,45,1.58,3.38,,5.909092091
2/26/2009,15.5,81,6.1,99.5,1.74,45.25,1.61,3.4,,5.826447446
2/27/2009,15.6,80.5,6.05,100,1.71,44.5,1.61,3.38,,5.867769769
3/2/2009,15.1,81.5,6.05,99,1.69,41.5,1.51,3.28,,5.371901901
3/3/2009,15,79,6.25,98,1.66,40.5,1.5,3.24,,5.165290289
3/4/2009,15,79.5,6.35,98,1.65,42,1.53,3.32,,5.413224223
3/5/2009,14.5,80.5,6.4,98,1.66,42,1.56,3.32,,5.289257256
3/6/2009,14.6,82,6.35,99,1.66,41.5,1.55,3.38,,5.289257256
3/9/2009,14.1,83.5,6.2,95.5,1.66,40.75,1.5,3.32,,4.958678678
3/10/2009,14.6,81,6.25,97,1.71,41.25,1.52,3.36,,4.958678678
3/11/2009,14.4,80,6.2,97,1.66,41.25,1.54,3.34,,4.958678678
3/12/2009,14.4,81,5.9,94.5,1.65,41.5,1.59,3.34,,5.082645645
